Joint,Source,AxialChordSaddle,AxialChordCrown,AxialChordSide,AxialBraceSaddle,AxialBraceCrown,AxialBraceSide,OPBChordSaddle,OPBChordSide,OPBBraceSaddle,OPBBraceSide,IPBChordCrown,IPBChordSide,IPBBraceCrown,IPBBraceSide
1.1,Experiment,8.3,4.7,8.3,NaN,1.7,NaN,7.9,7.9,4,4,NaN,NaN,NaN,NaN
1.1,Efthymiou,7.4,4.4,NaN,3.3,1.3,NaN,8.6,NaN,4.7,NaN,3.8,NaN,3.2,NaN
1.1,FEA,4.2,3.8,4.9,3.9,2.8,5,4.9,5.7,4.7,5.9,2.8,3.2,2.3,2.5
1.1,FEA/2,4.2,3.8,4.9,3.9,2.8,5,4.9,5.7,4.7,5.9,2.8,3.2,2.3,2.5
1.13,Experiment,13,4.8,13,6.8,2.2,6.8,12.2,12.2,6.5,6.5,3.9,3.9,NaN,NaN
1.13,Efthymiou,13.2,4.2,NaN,6.9,1.3,NaN,15.3,NaN,8.2,NaN,4.9,NaN,3.2,NaN
1.13,FEA,9.4,4.8,10.5,10.1,2.4,10.1,10.4,11.1,10.7,10.7,3.7,3.8,2.4,3.2
1.13,FEA/2,9.4,4.8,10.5,10.1,2.4,10.1,10.4,11.1,10.7,10.7,3.7,3.8,2.4,3.2
1.3,Experiment,11.4,5.4,11.4,8.2,NaN,8.2,NaN,NaN,7.3,7.3,4.6,4.6,2.4,2.4
1.3,Efthymiou,12.1,3.9,NaN,6.7,1.3,NaN,14.2,NaN,7.9,NaN,4.5,NaN,3.2,NaN
1.3,FEA,8.8,4.5,9.7,9.9,2.4,9.9,9.7,10.4,10.7,10.7,3.5,3.5,2.4,3
1.3,FEA/2,9.6,4.5,9.6,9.9,2.4,10,10.5,10.5,10.7,10.8,3.5,3.6,2.5,3.1
1.5,Experiment,29,NaN,29,NaN,1,NaN,18.5,18.5,10.6,10.6,6.7,6.7,3.9,3.9
1.5,Efthymiou,15.2,4.3,NaN,8,0.5,NaN,18.8,NaN,10.4,NaN,5.5,NaN,3.7,NaN
1.5,FEA,12.7,6.3,12.9,12.5,2.8,12.5,15.6,15.8,15,15,4.5,4.5,2.9,3.8
1.5,FEA/2,11.5,5.9,12,12.2,2.6,12.2,14.2,14.7,14.6,14.6,4.1,4.1,2.6,3.7
1.7,Experiment,10.4,4.7,10.4,6.1,2.4,6.1,10.9,10.9,6.2,6.2,3.3,3.3,2.4,2.4
1.7,Efthymiou,8.1,4.3,NaN,3.5,0.5,NaN,10,NaN,5.7,NaN,4.1,NaN,3,NaN
